Delivery Market Name,Campaign,Channel,Date,Com sent,with success,Nb of Opening,Nb of Clicks,Transactions generated,Turnover,Turnover Online,Turnover Offline,Nb of Items Bought
France,Clienteling_Tactical_fr_VIPs_20200825,Clienteling,2020-08-25 00:00:00,13804,1804,0,0,354,94108.31999999999,3523,90586,2656
France,Delivery_fr_PRN_Sofrenchy_20200114,Email,2020-01-15 00:00:00,188685,185960,39435,4669,581,87823.47,0,87823,2585
France,LEAFLETOI_VIP_PARIS Juillet 2020,Direct Mail,2020-07-27 00:00:00,9430,9430,0,0,265,87485.34000000001,8704,78781,1843
France,Tactical_SMS_fr_BlackFriday_1_20201118,SMS/MMS,2020-11-20 00:00:00,35398,33708,0,0,352,85611.34,33568,52044,1433
France,Delivery_fr_OI_20200226,Email,2020-02-27 00:00:00,11730,10818,3356,437,259,82366.44,0,82366,1806
France,Delivery_fr_AR_20200226,Email,2020-02-26 00:00:00,265126,261981,43588,2271,420,71194.14000000003,0,71194,2114
France,Mailing carte Take Care – délicate attention confinement,Direct Mail,2020-04-22 00:00:00,4845,4845,0,0,352,70116.55000000002,0,70117,1961
France,SMS_Tactical_FR_VIP_68_20200917,SMS/MMS,2020-09-17 00:00:00,7468,6977,0,0,232,65337.53000000001,866,64471,1643
France,Delivery_fr_PRN_20200204,Email,2020-02-04 00:00:00,24169,23108,5821,327,380,64195.21000000002,0,64195,1926
France,Email_Tactical_FR_Black_Friday_3_20201127,Email,2020-11-27 00:00:00,263402,261638,49395,7434,389,61851.94,30851,31001,1495
France,Delivery_fr_AA_20200602,Email,2020-06-02 00:00:00,263154,260509,32731,5292,354,60499.44000000001,0,60499,1853
France,Delivery_fr_CaptainWallet_20200123,Email,2020-01-23 00:00:00,265601,258736,60320,2728,413,58957.94,0,58958,1948
France,Delivery_SMS_fr_68_20200713,SMS/MMS,2020-07-13 00:00:00,20015,19081,0,0,286,57921.66999999999,0,57922,1487
France,Delivery_fr_FDM3_20200518,Email,2020-05-22 00:00:00,263136,260729,41929,4991,310,56470.58000000001,0,56471,1788
France,Mailing Churners classiques Boutiques Septembre 2020,Direct Mail,2020-07-27 00:00:00,8949,8949,0,0,304,54772.30000000001,1279,53493,1492
France,Tactical_MMS_fr_BlackFriday_1_20201120,SMS/MMS,2020-11-19 00:00:00,29990,0,0,0,199,54053.35,11850,42204,1230
France,Mailing set cartes postales – délicate attention confinement,Direct Mail,2020-04-15 00:00:00,1094,1094,0,0,161,50652.07,0,50652,1122
France,Delivery_fr_FDM2_20200513,Email,2020-05-14 00:00:00,263742,261366,42325,3831,276,49525.719999999994,0,49526,1509
France,Email_tactical_FR_BF1_20201118,Email,2020-11-18 00:00:00,265801,262551,50625,7444,296,46621.740000000005,35324,11298,762
France,Delivery_fr_Prolongations_20200309,Email,2020-03-09 00:00:00,45129,44194,13706,2011,250,45918.259999999995,0,45918,1490
France,Email_tactical_FR_repasse_dernierjour_20200922,Email,2020-09-22 00:00:00,273316,269571,43301,3790,277,45072.12,20822,24251,979
France,Delivery_fr_OCA_20200128,Email,2020-01-28 00:00:00,264955,260511,44111,2986,292,44599.18,0,44599,1458
France,Email_tactical_FR_derniere_repasseBF_20201202,Email,2020-12-02 00:00:00,266017,263085,47246,5118,269,44075.23999999999,21601,22475,997
France,Email_tactical_FR_LPR_20200908,Email,2020-09-08 00:00:00,266859,263231,51589,2802,210,42532.16,5707,36826,1098
France,Delivery_TakeCareVague1_top8000,Clienteling,2020-04-30 00:00:00,8000,0,0,0,195,42006.55,0,42007,1344
France,Delivery_fr_Spring_20200211,Email,2020-02-11 00:00:00,277308,273378,38938,5456,285,41795.12999999999,0,41795,1515
France,Delivery_fr_FDM_20200511,Email,2020-05-11 00:00:00,264169,261745,43510,5537,181,40772.409999999996,0,40772,1107
France,Email_tactical_FR_Xmas_20201020,Email,2020-10-20 00:00:00,265489,261556,37996,5078,223,40336.1,10343,29993,880
France,Mailing Cabines Paris Octobre 2020 Sevre Montparnasse Convention,Direct Mail,2020-08-04 00:00:00,1031,1031,0,0,136,39560.73999999998,0,39561,843
France,Delivery_fr_Essentiel_20200221,Email,2020-02-21 00:00:00,196239,194855,47143,3549,239,39155.259999999995,0,39155,1134
France,Delivery_fr_Captain_Wallet_20200813,Email,2020-08-14 00:00:00,182148,180732,41600,1592,226,38695.840000000004,6766,31930,1049
France,Delivery_fr_Réouverture_boutiques_20200509,Email,2020-05-09 00:00:00,264467,261885,43130,2102,178,38479.08,0,38479,1051
France,Mailing Réouverture Espaces Juin 2020,Direct Mail,2020-06-02 00:00:00,7379,7379,0,0,308,38372.1,160,38212,1180
France,Delivery_fr_Eté_1_20200626,Email,2020-06-27 00:00:00,186304,185026,36230,4158,235,38094.06,0,38094,1076
France,Anniv Boutique : Extract Janvier 2020 – Anniversaire Février 2020,Direct Mail,2020-01-15 00:00:00,3022,3022,0,0,359,38044.94,0,38045,2383
France,Delivery_fr_meteorites_20200527,Email,2020-05-28 00:00:00,190933,189740,37627,3756,275,38006.17999999999,0,38006,1272
France,Email_tactical_FR_Allies_20201022,Email,2020-10-23 00:00:00,25154,24276,8443,1325,213,37893.88,8174,29720,835
France,Clienteling_Tactical_FR_BLOOMAWISH_112020,Clienteling,2020-10-30 00:00:00,5273,841,0,0,236,36821.95,3286,33536,1214
France,Delivery_Story_telling_20200423,Email,2020-04-24 00:00:00,265055,262492,40967,4608,99,36204,0,36204,687
France,Delivery_fr_OCA_ok_20200724,Email,2020-07-25 00:00:00,262543,259512,40253,2936,233,36189.229999999996,0,36189,1125
France,Delivery_FDP_20200611,Email,2020-06-11 00:00:00,262371,259828,35755,2462,210,35736.39,0,35736,977
France,Email_tactical_FR_Iris_torrefie_20201006,Email,2020-10-06 00:00:00,266085,263078,32977,3553,115,35157.4,6469,28689,506
France,Email_tactical_FR_LastCall_20201217,Email,2020-12-17 00:00:00,282231,279104,32556,4192,246,34900.39,12011,22889,1097
France,Email_Tactical_FR_Black_Friday_2_20201123,Email,2020-11-23 00:00:00,264648,262549,50139,6337,212,34849.6,21941,12908,648
France,Delivery_fr_FDM4_20200526,Email,2020-05-26 00:00:00,263022,260371,42314,3956,203,34683.060000000005,0,34683,1076
France,Email_tactical_FR_Shalimar_20200924,Email,2020-09-24 00:00:00,185176,183776,46818,5071,190,34670.700000000004,6054,28616,876
France,Delivery_fr_FDM_boutiques_20200605,Email,2020-06-05 00:00:00,63979,62828,11919,871,207,33945.30999999999,0,33945,979
France,Delivery_fr_Eté_4_ok_20200717,Email,2020-07-18 00:00:00,186000,184582,33812,3495,201,33783.25,0,33783,1027
France,Email_tactical_FR_Back_to_school_20200904,Email,2020-09-04 00:00:00,190337,188853,44552,2948,199,33701.39,7654,26047,906
France,Email_tactical_FR_RougeG_2_20201027,Email,2020-10-27 00:00:00,265538,262933,42589,3729,179,33405.299999999996,6213,27192,859
France,Email_Tactical_FR_Eté8_Terracota_20200827,Email,2020-08-28 00:00:00,190160,188691,42911,3944,191,32924.619999999995,8160,24765,877
France,Delivery_fr_68_20200807,Email,2020-07-08 00:00:00,263224,260394,47365,4647,157,32627.769999999997,0,32628,757
France,Delivery_fr_Stval_Histoire_Damour_20200214,Email,2020-02-14 00:00:00,194137,192721,38849,3005,218,31959.86999999999,0,31960,1076
France,Delivery_muguet_20200416,Email,2020-04-16 00:00:00,268022,265309,49936,6410,182,31895.86,0,31896,1144
France,Email_tactical_FR_OCA_20201013,Email,2020-10-15 00:00:00,265448,260903,33364,2980,206,31743.579999999998,10572,21171,737
France,Email_tactical_FR_VIP_JourJ_Lundi_20200914,Email,2020-09-14 00:00:00,18879,18010,5432,955,159,30891.469999999998,15547,15345,618
France,Delivery_fr_Eté_2_bee_garden_20200703,Email,2020-07-04 00:00:00,186691,185389,37100,4813,190,30864.549999999996,0,30865,885
France,Email_tactical_FR_Xas3_Coffrets_20201106,Email,2020-11-06 00:00:00,266349,263234,49764,5805,112,30131.57,16673,13458,432
France,Clienteling_Auto_FR_Contactlist_Top_Buyers_202011,Clienteling,2020-11-30 00:00:00,27989,1851,0,0,100,30109.379999999997,1401,28708,728
France,Delivery_fr_Mad_Eyes_20200609,Email,2020-06-09 00:00:00,189795,188526,40905,5657,210,30074.3,0,30074,936
France,20200219_MailingAuto_Anniv_Boutique,Direct Mail,2020-02-19 00:00:00,3437,3437,0,0,260,29766.61999999999,0,29767,1783
France,Email_Tactical_FR_VIP_JourJ_Mardi_20200915,Email,2020-09-15 00:00:00,18871,17980,5037,946,148,29229.449999999997,9240,19990,627
France,Email_tactical_FR_OIBlack_20201114,Email,2020-11-20 00:00:00,22547,21331,6123,1297,67,29154.34,14013,15142,270
France,Email_Tactical_FR_LancementSite_20200901,Email,2020-09-02 00:00:00,267065,263587,48832,5101,159,28938.120000000003,6201,22737,736
France,Mailing Cabines Paris Octobre 2020 Passy Beaugrenelle,Direct Mail,2020-08-04 00:00:00,744,744,0,0,115,28801.840000000004,49,28753,623
France,Delivery_fr_VIP_Repasse_20200307,Email,2020-03-07 00:00:00,34339,33398,10896,1988,190,28540.670000000002,0,28541,1263
France,MailingPostal Espaces Mars2020,Direct Mail,2020-02-05 00:00:00,8472,8472,0,0,194,28466.01,0,28466,728
France,Mailing Réouverture Boutiques Juin 2020 Echantillon,Direct Mail,2020-06-10 00:00:00,2591,2591,0,0,160,28306.5,0,28307,760
France,Delivery_fr_Patchouli_20200630,Email,2020-07-01 00:00:00,27465,26510,8689,1342,186,27883.63,0,27884,876
France,Email_tactical_FR_VIP_Prolongations_20200921,Email,2020-09-21 00:00:00,80214,78881,17483,1845,179,27780.149999999998,14930,12850,540
France,SMS_Auto_FR_QuestionnaireSatisfaction_Boutique_PostAchat_MFB_202011,SMS/MMS,2020-11-30 00:00:00,645,620,0,0,38,27003.56,716,26288,437
France,Delivery_fr_OCA_OK_20200619,Email,2020-06-24 00:00:00,261463,258985,35677,3482,143,26715.820000000003,0,26716,719
France,Email_tactical_FR_event68_20201204,Email,2020-12-04 00:00:00,265866,263017,45802,4328,168,26282.91,8303,17980,776
France,Delivery_fr_Bee_Garden_20200616,Email,2020-06-15 00:00:00,62655,61492,15100,1351,130,25999.190000000006,0,25999,716
France,Delivery_fr_vip_nouvelle_prolongations_20200311,Email,2020-03-11 00:00:00,44377,43437,15723,2546,179,25827.829999999998,0,25828,946
France,Email_Auto_FR_Abandoned_Cart_SFCC_202011,Email,2020-11-23 00:00:00,1679,1670,1090,609,177,25815.979999999996,18547,7269,444
France,Email_tactical_FR_Cyber_Monday_20201130,Email,2020-11-30 00:00:00,263847,260995,50467,5187,161,24896.21,11932,12964,611
France,Mailing BD – délicate attention confinement,Direct Mail,2020-04-15 00:00:00,198,198,0,0,49,24547.53,0,24548,405
France,Delivery_fr_LVP_20200219,Email,2020-02-19 00:00:00,195779,194397,47879,4498,165,24275.05,0,24275,732
France,Delivery_Lipstick_Day_20200729,Email,2020-07-29 00:00:00,261958,259103,44063,2649,167,23736.29,0,23736,754
France,20201128_MailingAuto_Anniv_Boutique,Direct Mail,2020-11-28 00:00:00,2951,2951,0,0,125,23521.46,41,23480,788
France,SMS_Tactical_FR_Services_68_20200910,SMS/MMS,2020-09-10 00:00:00,6428,6030,0,0,77,22614.120000000003,163,22451,356
France,SMS_Auto_FR_QuestionnaireSatisfaction_Boutique_PostAchat_MFB_202012,SMS/MMS,2020-12-31 00:00:00,2867,2776,0,0,160,22423.209999999995,0,22423,875
France,Email_Tactical_FR_VIP_JourJ_Mercredi_20200916,Email,2020-09-16 00:00:00,18905,17998,5039,889,136,21928.2,9980,11948,539
France,MailingPostal Boutiques Mars2020 Echantillon,Direct Mail,2020-02-05 00:00:00,2765,2765,0,0,102,21306.62,0,21307,533
France,Email_tactical_FR_fermeture_boutiques_20201030,Email,2020-10-30 00:00:00,267658,265002,55220,5415,117,20482.199999999997,13785,6697,343
France,Email_tactical_FR_Gants_Blancs_20201106,Email,2020-11-09 00:00:00,68314,66695,13422,1543,57,20320.52,3424,16897,343
France,SMS_Tactical_FR_Fermeture_Boutique_20201030,SMS/MMS,2020-10-30 00:00:00,40137,37503,0,0,81,20268.6,4746,15523,354
France,Delivery_fr_Essentiel_repasse_20200305,Email,2020-03-06 00:00:00,232796,230201,37759,2413,141,19995.47,0,19995,659
France,Email_tactical_FR_Xmasbestsellers_20201212,Email,2020-12-13 00:00:00,282181,279127,40596,4045,137,19902.47,11073,8830,522
France,Delivery_fr_FDM5_20200530,Email,2020-05-30 00:00:00,262628,259861,37274,4177,175,19897.39,0,19897,900
France,Clienteling_Tactical_FR_Aqua_Allegoria_June2020,Clienteling,2020-06-09 00:00:00,2527,808,0,0,101,19720.430000000004,0,19720,548
France,Delivery_Réveil_Inactifs -15%,Email,2020-05-29 00:00:00,71,71,18,2,1,19500,0,19500,6
France,Clienteling_Tactical_FR_VIP_Ecommerce_SRC_202009,Clienteling,2020-09-09 00:00:00,1718,503,0,0,86,19406.649999999998,17546,1861,266
France,Clienteling_Tactical_FR_Churners_20200825,Clienteling,2020-08-25 00:00:00,2272,432,0,0,84,18679.19,872,17807,405
France,Delivery_TakeCareVague1_rappelConfinement_100_1000,Clienteling,2020-04-30 00:00:00,15814,0,0,0,136,17639.6,0,17640,878
France,Delivery_fr_MG_BOREDP_20200408,Email,2020-04-08 00:00:00,198589,197275,50606,3169,97,17592.17,0,17592,725
France,Mailing savon sapocetti – délicate attention confinement,Direct Mail,2020-04-15 00:00:00,189,189,0,0,46,17122.779999999995,0,17123,330
France,Email_tactical_FR_Xmas2_20201103,Email,2020-11-04 00:00:00,266159,263290,51464,5804,90,17063.489999999998,9227,7837,306
France,Delivery_fr_Bee_garden_repasse_20200622,Email,2020-06-22 00:00:00,186185,184863,42246,3425,99,16837.79,0,16838,474
France,Email_tactical_FR_OIBlue_20200928,Email,2020-09-28 00:00:00,24674,23762,7400,732,73,16600.84,1212,15389,347
France,Delivery_fr_68_repasse_20200715,Email,2020-07-15 00:00:00,185969,184688,36049,2390,108,16472.71,0,16473,496
France,MMAG Noël 2020 Boutiques Echantillon,Direct Mail,2020-10-19 00:00:00,999,999,0,0,83,16446.35,1740,14707,440
France,Email_tactical_FR_Xmas4_personnalisation_20201112,Email,2020-11-12 00:00:00,266616,263169,32756,4980,90,16399.32,14414,1986,192
France,Delivery_fr_VIP_Jour_J_mercredi_20200304,Email,2020-03-04 00:00:00,12082,11251,4188,1041,120,16133.350000000002,0,16133,722
France,Delivery_fr_AR_20200721,Email,2020-07-22 00:00:00,252242,249270,34442,2609,101,15984.07,0,15984,497
France,Email_tactical_FR_Xmas6_RougeG_20201207,Email,2020-12-07 00:00:00,265214,262396,42306,3627,136,15929.31,9036,6893,419
France,Mailing Postal MMAG Septembre 2020 Boutiques Echantillon,Direct Mail,2020-07-24 00:00:00,2613,2613,0,0,106,15744.84,2153,13592,486
France,Email_tactical_FR_meteorites_20201008,Email,2020-10-09 00:00:00,186302,184024,33328,3485,102,15622.170000000002,3149,12473,375
France,Delivery_fr_Gants_blanc_Repasse_20200427,Email,2020-04-27 00:00:00,64700,63531,19569,1933,79,15519.880000000001,0,15520,564
France,Mailing Churners LPRN Boutiques Septembre 2020,Direct Mail,2020-07-27 00:00:00,992,992,0,0,85,15502.83,279,15224,479
France,Mailing Cabines Paris Octobre 2020 Francs Bourgeois BHV,Direct Mail,2020-08-04 00:00:00,482,482,0,0,58,15209.67,138,15072,367
France,Email_Auto_FR_Abandoned_Cart_SFCC_202011,Email,2020-11-30 00:00:00,808,807,485,296,122,15083.98,11980,3104,328
France,Clienteling_Auto_FR_Contactlist_Top_Visitors_202011,Clienteling,2020-11-30 00:00:00,33581,1308,0,0,58,14886.350000000002,2734,12153,357
France,Email_Tactical_FR_AR_Flash_Sale_20200824,Email,2020-08-24 00:00:00,266419,263469,50038,4321,122,14772.67,5284,9488,453
France,Mailing Cabines Paris Octobre 2020 Haussmann,Direct Mail,2020-08-04 00:00:00,346,346,0,0,48,14483.6,0,14484,274
France,MMAG Noël 2020 Hors Paris,Direct Mail,2020-10-19 00:00:00,15374,15374,0,0,77,14479.86,2856,11624,372
France,Delivery_fr_Story_telling_voyages_des_sens_20200403,Email,2020-04-03 00:00:00,271946,268850,42811,4173,105,14189.949999999999,0,14190,726
France,SMS_Auto_FR_QuestionnaireSatisfaction_Boutique_PostAchat_MFB_202010,SMS/MMS,2020-10-31 00:00:00,1008,964,0,0,41,14076.029999999999,0,14076,249
France,Email_tactical_FR_repasseOCA_20201016,Email,2020-10-17 00:00:00,234742,230855,21792,2282,97,13880.529999999999,4106,9774,341
France,Delivery_Take_Care_20200410,Email,2020-04-10 00:00:00,271226,268261,42586,4814,93,13668.29,0,13668,664
France,Email_tactical_Institut-20201003,Email,2020-10-03 00:00:00,11907,11023,3251,208,44,13174.62,0,13175,244
France,Delivery_fr_Shalimar_20200501,Email,2020-05-01 00:00:00,193425,192081,43303,8551,124,13155.45,0,13155,668
France,Email_Auto_FR_Abandoned_Cart_SFCC_202012,Email,2020-12-31 00:00:00,1187,1182,645,356,109,13121.420000000002,11203,1919,247
France,MailingPostal Sephora Rivoli Mars2020,Direct Mail,2020-02-08 00:00:00,2643,2643,0,0,100,13095.12,0,13095,485
France,Email_Auto_FR_Abandoned_Cart_SFCC_202010,Email,2020-10-28 00:00:00,475,471,294,203,95,13041.359999999997,11099,1943,223
France,Delivery_fr_know_how_20200714,Email,2020-07-14 00:00:00,262893,260151,36527,2791,66,13029.599999999999,0,13030,291
France,Delivery_SMS_fr_VAD_GL_20200525,SMS/MMS,2020-05-25 00:00:00,2581,2376,0,0,60,12834.539999999999,0,12835,364
France,MailingPostal Cabine LBM Mars2020,Direct Mail,2020-02-06 00:00:00,854,854,0,0,38,12490.49,0,12490,292
France,Delivery_fr_Cocooning_20200505,Email,2020-05-07 00:00:00,193044,191726,42206,4335,107,12384.07,0,12384,584
France,Delivery_QuestionnaireSatisfaction_Boutique_PostAchat_MFB_SMS_202006,SMS/MMS,2020-06-30 00:00:00,1089,1051,0,0,47,11601.62,0,11602,268
France,Email_Auto_FR_Abandoned_Cart_SFCC_202012,Email,2020-12-09 00:00:00,705,705,401,229,101,11333.169999999998,10239,1095,206
France,Delivery_fr_Eté_3_20200710,Email,2020-07-11 00:00:00,177859,176569,37726,2733,73,11087.699999999999,0,11088,346
France,Email_tactical_FR_Wishlist_20201214,Email,2020-12-15 00:00:00,282111,279116,48251,3034,78,10919.29,4165,6754,282
France,Delivery_fr_VIP_Jour_J_lundi_20200302,Email,2020-03-02 00:00:00,12091,11264,4004,1003,82,10888.019999999997,0,10888,489
France,Delivery_fr_weekendtips_20200327,Email,2020-03-27 00:00:00,275002,271629,44206,5579,89,10851.57,0,10852,611
France,Email_tactical_FR_Terracotta_20200929,Email,2020-09-29 00:00:00,25180,24306,8849,1091,97,10767.630000000001,4270,6498,293
France,Email_tactical_FR_lastcallIDF_20201221,Email,2020-12-21 00:00:00,33822,32532,5744,453,67,10764.869999999999,2319,8446,337
France,SMS_Tactical_FR_Bee_Garden_Automne_20200910,SMS/MMS,2020-09-10 00:00:00,2054,1949,0,0,50,10729.12,0,10729,364
France,Email_tactical_FR_ouverture_boutique_20201126,Email,2020-11-26 00:00:00,268332,266212,47740,2941,57,10597.98,3590,7008,235
France,20201128_MailingAuto_Anniv_Espace,Direct Mail,2020-11-28 00:00:00,882,882,0,0,44,10593.33,405,10189,261
France,Delivery_fr_Masterclass_20200617,Email,2020-06-17 00:00:00,201989,199721,24838,1954,63,10433.650000000001,0,10434,279
France,Delivery_Réveil_Inactifs -15%,Email,2020-01-23 00:00:00,105,103,40,4,11,10403.739999999998,181,10223,128
France,Email_tactical_FR_Fleur_de_Cedrat_20201015,Email,2020-10-13 00:00:00,13991,13063,3797,596,62,10398.71,885,9514,291
France,OP Gifting OI Août 2020,Direct Mail,2020-06-10 00:00:00,1220,1220,0,0,25,10337.3,2975,7362,153
France,Delivery_Ete6_NSL_TinyClues_20200804,Email,2020-08-05 00:00:00,19667,18785,5561,649,75,10261.24,0,10261,348
France,Email_Auto_FR_QuestionnaireSatisfaction_Boutique_PostAchat_MFB_202012,Email,2020-12-31 00:00:00,5450,5189,2744,1535,80,10138.67,619,9520,419
France,20200928_MailingAuto_Anniv_Boutique,Direct Mail,2020-09-28 00:00:00,2897,2897,0,0,42,10042.82,0,10043,206
France,Clienteling_Tactical_FR_PEX_20201012,Clienteling,2020-10-12 00:00:00,127,25,0,0,7,9952.5,65,9888,71
France,Email_Tactical_FR_Repasse_Black_Friday_3,Email,2020-11-29 00:00:00,216246,215960,17995,2587,63,9673.11,5535,4138,230
France,Delivery_fr_Story_Telling_Savoir_Faire_20200429,Email,2020-04-29 00:00:00,264444,262174,44152,5304,93,9492.15,0,9492,519
France,Email_Auto_FR_QuestionnaireSatisfaction_Boutique_PostAchat_MFB_202009,Email,2020-09-30 00:00:00,2432,2326,1338,795,53,9266.91,824,8443,240
France,Delivery_SMS_fr_Beaugrenelle,SMS/MMS,2020-05-25 00:00:00,1816,1714,0,0,73,9171.74,0,9172,383
France,Mailing Opé Cabines LBM Septembre 2020,Direct Mail,2020-08-05 00:00:00,1025,1025,0,0,27,9152.1,0,9152,168
France,Delivery_fr_AR_OK_20200516,Email,2020-05-16 00:00:00,182771,181489,35389,3105,58,9075.95,0,9076,264
France,202005_FR_MFB_Survey_Email,Email,2020-05-31 00:00:00,1206,1127,663,415,30,8991.7,0,8992,207
France,Delivery_fr_Ete7_tinyclues_20200811,Email,2020-08-12 00:00:00,19623,18756,5768,833,50,8797,0,8797,233
France,Email_Auto_FR_QuestionnaireSatisfaction_Boutique_PostAchat_MFB_202010,Email,2020-10-15 00:00:00,907,852,429,250,14,8753.91,0,8754,90
France,Anniv Espace : Extract Janvier 2020 - Anniverssaire Février 2020,Direct Mail,2020-01-31 00:00:00,716,716,0,0,71,8719.79,0,8720,316
France,Email_tactical_FR_Xmas5_Fragrance_20201114,Email,2020-11-16 00:00:00,266337,262986,50733,5561,58,8537.619999999999,8182,356,110
France,Delivery_fr_VIP_Jour_J_mardi_20200303,Email,2020-03-03 00:00:00,12091,11258,4086,1004,53,8304.829999999998,0,8305,325
France,Email_Tactical_fr_lookdefêtes_20201230,Email,2020-12-29 00:00:00,282415,278642,49364,3961,55,8263.75,3072,5192,229
France,Delivery_fr_Bonne_Mine_20200320,Email,2020-03-20 00:00:00,0,0,60503,5358,58,8227.85,0,8228,324
France,Delivery_SMS_fr_BeeGarden_20200521,SMS/MMS,2020-05-22 00:00:00,1730,1614,0,0,42,8223.75,0,8224,272
France,Delivery_TakeCareVague1_top3000_mix,Clienteling,2020-04-30 00:00:00,3000,0,0,0,94,8129.87,0,8130,511
France,Delivery_fr_Habit_Rouge_Tiny_Clues_20200807,Email,2020-08-07 00:00:00,19637,18762,6016,406,45,8109.9,0,8110,233
France,Mailing Postal OP VIP AR Octobre 2020_2,Direct Mail,2020-10-08 00:00:00,496,496,0,0,32,8071.049999999999,949,7123,208
France,202006_FR_MFB_Survey_Email,Email,2020-06-30 00:00:00,2430,2281,1275,768,44,7917.3899999999985,0,7917,226
France,Clienteling_Auto_FR_Contactlist_Thank_You_202012,Clienteling,2020-12-31 00:00:00,16704,855,0,0,37,7278.209999999999,22,7256,177
France,20200528_MailingAuto_Anniv_Boutique,Direct Mail,2020-05-28 00:00:00,3158,3158,0,0,44,6977.599999999999,0,6978,195
France,Delivery_Réveil_Inactifs -15%,Email,2020-02-16 00:00:00,80,79,25,6,12,6945.849999999999,0,6946,105
Italy,Delivery Black Friday,Email,2020-11-27 00:00:00,6432,6309,2248,574,41,6904.469999999999,1252,5652,87
France,SMS_Auto_FR_QuestionnaireSatisfaction_Boutique_PostAchat_MFB_202009,SMS/MMS,2020-09-30 00:00:00,1165,1117,0,0,34,6779.12,74,6706,194
